hostname,sy_pnum,st_rad,st_mass
G 264-012,2,0.305,0.297
G 268-110,1,NA,0.137
G 9-40,1,0.3073,0.29
G 9-40,1,0.3026,0.2952
G 9-40,1,0.3073,0.29
G 9-40,1,0.307,NA
G 9-40,1,0.32,NA
GJ 1002,2,0.137,0.12
GJ 1002,2,0.137,0.12
GJ 1061,3,0.156,0.12
GJ 1061,3,0.156,0.12
GJ 1061,3,0.156,0.12
GJ 1061,3,0.156,0.12
GJ 1061,3,0.156,0.12
GJ 1061,3,0.156,0.12
GJ 1132,2,0.2105,0.181
GJ 1132,2,0.207,0.181
GJ 1132,2,0.226407,NA
GJ 1132,2,0.2211,0.1945
GJ 1132,2,0.207,0.181
GJ 1132,2,0.207,0.192
GJ 1132,2,NA,NA
GJ 1132,2,0.255,0.181
GJ 1132,2,0.2105,0.181
GJ 1148,2,0.358519,0.344045
GJ 1148,2,0.358519,0.344045
GJ 1148,2,0.36664,0.373585
GJ 1148,2,0.36664,0.373585
GJ 1148,2,0.358519,0.344045
GJ 1151,1,0.1781,0.1639
GJ 1214,1,NA,NA
GJ 1214,1,0.2162,0.182
GJ 1214,1,0.214572,0.183607
GJ 1214,1,0.211,0.157
GJ 1214,1,0.2213,0.176
GJ 1214,1,0.201,NA
GJ 1214,1,0.216,0.15
GJ 1214,1,0.214572,0.183607
GJ 1214,1,NA,NA
GJ 1214,1,0.21,NA
GJ 1214,1,0.201,NA
GJ 1214,1,0.211,0.157
GJ 1214,1,0.179,0.156
GJ 1214,1,NA,NA
GJ 1214,1,0.215,0.178
GJ 1214,1,0.214572,0.183607
GJ 1214,1,0.21,0.153
GJ 1214,1,0.2064,0.157
GJ 1214,1,0.21,0.157
GJ 1214,1,0.211,0.157
GJ 1252,1,0.391,0.381
GJ 1252,1,0.391,0.381
GJ 1252,1,0.391,0.381
GJ 1252,1,0.390989,NA
GJ 1252,1,0.391,0.381
GJ 1252,1,0.391,0.381
GJ 1265,1,0.192,0.178
GJ 1289,1,NA,0.21
GJ 143,2,0.71,NA
GJ 143,2,0.695,0.73
GJ 143,2,0.73,0.76
GJ 15 A,2,0.375411,0.399648
GJ 15 A,2,0.3863,0.375
GJ 15 A,2,0.38,0.38
GJ 15 A,2,0.38,0.38
GJ 160.2,1,NA,0.69
GJ 163,3,NA,NA
GJ 163,3,NA,NA
GJ 163,3,NA,NA
GJ 179,1,NA,0.357
GJ 179,1,0.38,0.357
GJ 179,1,0.381487,0.393442
GJ 180,3,NA,0.43
GJ 180,3,NA,0.43
GJ 180,3,NA,0.43
GJ 180,3,NA,0.43
GJ 2030,2,NA,0.96
GJ 2030,2,NA,0.96
GJ 2056,1,NA,0.62
GJ 2126,1,0.728,0.65
GJ 229,2,NA,0.58
GJ 229,2,NA,0.509
GJ 229,2,NA,0.58
GJ 229,2,NA,0.58
GJ 229,2,NA,0.509
GJ 238,1,0.4314,0.4193
GJ 238,1,0.426676,NA
GJ 251,2,0.364,0.36
GJ 251,2,0.36,0.35
GJ 251,2,0.36,0.35
GJ 27.1,1,NA,0.53
GJ 273,2,0.293,0.29
GJ 273,2,0.293,0.29
GJ 3021,1,0.9,0.9
GJ 3082,1,NA,0.47
GJ 3090,2,0.516,0.519
GJ 3090,2,0.516,0.519
GJ 3090,2,0.516,0.519
GJ 3090,2,0.52,NA
GJ 3090,2,0.516,0.519
GJ 3138,3,0.5,0.681
GJ 3138,3,0.5,0.681
GJ 3138,3,0.5,0.681
GJ 317,2,0.431834,0.453271
GJ 317,2,NA,0.26
GJ 317,2,NA,0.42
GJ 317,2,NA,0.42
GJ 317,2,0.403,0.402
GJ 317,2,0.403,0.402
GJ 317,2,NA,0.42
GJ 317,2,NA,0.42
GJ 317,2,NA,0.24
GJ 317,2,0.431834,0.453271
GJ 3222,1,NA,0.89
GJ 328,2,0.63,0.65
GJ 328,2,NA,0.69
GJ 328,2,0.63,0.65
GJ 3293,4,0.404,0.42
GJ 3293,4,0.404,0.42
GJ 3293,4,0.404,0.42
GJ 3293,4,0.404,0.42
GJ 3293,4,0.404,0.42
GJ 3293,4,0.404,0.42
GJ 3323,2,0.119,0.164
GJ 3323,2,0.119,0.164
GJ 3341,1,0.439,0.47
GJ 338 B,1,0.58,0.64
GJ 338 B,1,0.58,0.64
GJ 341,1,0.5066,0.48
GJ 341,1,0.53,NA
GJ 3470,1,0.499698,0.497757
GJ 3470,1,0.526,0.557
GJ 3470,1,0.503,0.541
GJ 3470,1,0.499698,0.497757
GJ 3470,1,0.499698,NA
GJ 3470,1,0.499698,0.497757
GJ 3470,1,0.568,0.539
GJ 3470,1,0.48,0.51
GJ 3470,1,0.48,0.51
GJ 3470,1,0.547,0.539
GJ 3470,1,0.503,0.541
GJ 3473,2,0.364,0.36
GJ 3473,2,0.354529,NA
